u,x1,x2
0.13135086251333158,-0.016975024465298402 -0.013623484403635831 39.877764352454044,-0.017854164559940124 -0.022222808345833248 40.58005561560408
0.12025232131597394,-0.017854164559940124 -0.022222808345833248 40.58005561560408,-0.017780656432373552 -0.012334528358824606 40.947137871572245
0.09640823959685879,-0.017780656432373552 -0.012334528358824606 40.947137871572245,-0.01831234139151799 -0.012873393616853005 40.842910626435305
0.1236993905202087,-0.01831234139151799 -0.012873393616853005 40.842910626435305,-0.018700452367876857 -0.015391823999117284 41.19904385164791
0.11593608352789833,-0.018700452367876857 -0.015391823999117284 41.19904385164791,-0.018679071659306754 -0.009756201943620424 41.423949738351936
0.1088250626697897,-0.018679071659306754 -0.009756201943620424 41.423949738351936,-0.018693898863186946 -0.007108178303622195 41.350720805143425
0.12429299594578933,-0.018693898863186946 -0.007108178303622195 41.350720805143425,-0.01963327018160303 -0.019548658897734765 41.84894693546429
0.129809055862085,-0.01963327018160303 -0.019548658897734765 41.84894693546429,-0.019513518079860043 -0.012246972463969039 42.23681553634114
0.09451726820758688,-0.019513518079860043 -0.012246972463969039 42.23681553634114,-0.01960235945723962 -0.006965534462620949 42.07743629323423
0.11633352266042127,-0.01960235945723962 -0.006965534462620949 42.07743629323423,-0.020045914371323508 -0.012902761706787004 42.28104910115801
0.12659811019184838,-0.020045914371323508 -0.012902761706787004 42.28104910115801,-0.019969456377324418 -0.009726963927979167 42.51479487957719
0.10952100337252438,-0.019969456377324418 -0.009726963927979167 42.51479487957719,-0.020013910586285752 -0.007306134694707041 42.51087408066576
0.1198086811783324,-0.020013910586285752 -0.007306134694707041 42.51087408066576,-0.020952821707153776 -0.019281263394267816 42.88666151245017
0.1250496026517361,-0.020952821707153776 -0.019281263394267816 42.88666151245017,-0.020362745936999153 -0.005899405886616145 43.07519274869106
0.0898475833837088,-0.020362745936999153 -0.005899405886616145 43.07519274869106,-0.02096788023703237 -0.010347553548445855 42.78505282203079
0.12939847144037517,-0.02096788023703237 -0.010347553548445855 42.78505282203079,-0.02131599991207625 -0.015104876496461209 43.09215241016034
0.11003727304391539,-0.02131599991207625 -0.015104876496461209 43.09215241016034,-0.020846173266925578 -0.0034601854431226195 43.11972865722796
0.09762904938487582,-0.020846173266925578 -0.0034601854431226195 43.11972865722796,-0.02092029567093465 -0.004262343751442117 42.80707348795537
0.1304485002500563,-0.02092029567093465 -0.004262343751442117 42.80707348795537,-0.021337821513312403 -0.013254388257556564 43.1873565573958
